barcode_prri,item_id,brand,description,specifications,category_id,transac_type,quantity,unit,unit_price,total_cost,project_code,personnel_id,user_id,expiration,remarks,par_no,created_at,location,condition
1051060322,Access Switch,Ubiquiti,S/N: 245A4C17EB18,"Access Switch, Unifi USW-Pro-24-POE, SN: 245A4C17EB18
ICT equipment, Access Switch, Unifi USW-Pro-24-POE Unifi 24 Port Gigabit Switch with 802 3bt PoE, Layer3 Features and SFP SN: 245A4C17EB18",4,incoming,1,unit,50180,50180,Corporate,,Roel R. Suralta,,Initial Stock,24-11-0032,12/02/2021,,Serviceable
1051060323,Access Switch,Ubiquiti,S/N: 245A4C17ECE0,"Access Switch, Unifi USW-PRO-24-POE, SN: 245A4C17ECE0
ICT equipment, Access Switch, Unifi USW-Pro-24-POE Unifi 24 Port Gigabit Switch with 802 3bt PoE, Layer3 Features and SFP SN: 245A4C17ECE0",4,incoming,1,unit,50180,50180,Corporate,,Roel R. Suralta,,Initial Stock,24-11-0032,12/02/2021,,Serviceable
1051055720,All in one Conference Cam,Logitech,S/N: 2052LZ537TM9," Logitech BRIO Webcam, Logitech Meet up 960-001101 All-in-one ConferenceCam with 120Â° diagonal field of experience, SN: 2052LZ537TM9 w/ Edifier G2000 Speaker 2 75 inch full-range unit with 16W RMS power output Column-shaped cabinet",4,incoming,1,unit,86410,86410,Corporate, ,Roel R. Suralta,,Initial Stock,24-11-0034,02/08/2021,,Serviceable
1051053196,Audio Conference System,Kevler,QM-900C,"Audio conference system, 1x KEVLER QM-900C Chairman Mic SN:QM900C20200100007, 16x KEVLER QM-900 Delegate Mic SN:QM900D20200100038, QM900D20200100037, QM900D20200100041, QM900D20200100042, QM900D20200100147, QM900D20200100148, QM900D20200100110, QM900D20200100109, QM900D20200100045, QM900D20200100046, QM900D20200100044, QM900D20200100043, QM900D20200100040, QM900D20200100039, QM900D20200100048, QM900D20200100047, BEHRINGER XENYX 1204USB SN: S180400232AKU(built-in USB Interface, ""british"" style 3-band EQ's, easy to use knob compressors, Mac Windows and Linux Compatible, 12 input, 4 mic preamps) 1 pair JBL CONTROL 25 speaker SN: U-808-027349-A, U-808-027350-A (5 25 in Polypropylene coated woofer, 75 in Titanium coated horn loaded tweeter, built-in invisiball mounting hardware, weather resistant enclosure and transducers, readily paintable, 90 x 90 high frequency horn, overload protection circuitry) BEHRINGER KM-750 amplifier SN:S181004364BRI (2x400watts inot 4Ohms, ATR technology for ultimate punch and clarity, switchable limiter, XLR, 1/4"" TRS and RCA input connectors for compatibility with any source) KEVLER QM-900U Main Unit (record & play function thru USB/SD with FM Tuner, equipt with 3 groups for system connecting workable for 20 unit for each group, single, multiple and many groups can be use simultaneously, outpy LED indicator) MX-1 Mixer & Conference System Stand (9U, H: 880mm, W: 8kg) KEVLER PCS-410 Power Sequencer (8-channel output + 2-channel front output, 16A per channel, big dibital voltmeter display for easy voltage monitoring) inclusive of Delivery, Installation, commissioning and testing, labor, electrical, piping etc",4,incoming,1,unit,352249,352249,Corporate,,Roel R. Suralta,,Initial Stock,24-02-0076,09/01/2020,,Serviceable
1051071914,Audio System,Kevler,ZLX-15D,"Communication Equipment, Audio System
Audio System
Kevler studio 24 mixer, 24 Channel Mixer
16 Mic/Linr , 4 Stereo Input, USB Record and Playback
Headsphones in 48v Phantom power each CH
HPf (low Cut) 199 Dual DSP Effect, Bluetooth Function
4 AUX output, 4 Groups output
75(W) x 48(D) x 11 (H) cm, 10 2kg
Kevler Zlx 15Dactive speaker (pair)
KEVLER ZLX-15D 15"" 1000W 2-Way Full, Range Active Loud Speaker
with LCD Display and Class D Amplifier, Built-In USB Port and Bluetooth Function, Mic Line, RCA and XLR I/O and DSP Preset Modes | ZLX-15D

Kevler RCM77wireless mic rechargeable
Dual UHF Wireless Microphone
UHF Freq : 636-695 7 MHz
200 Selectable Frequencies
100 Freq Each Channel
Auto Frequency Search Function
Easy to sync and operate
Able to charge the handheld on receiver Unit LCD Display in receiver & transmitter
Compact size receiver
Dual Antenna receiving system
3 7V 1100mAh Li-ion rechargeable battery
Kevler stand ss-5, Model: SS-5
Type: Extendable Speaker Stand
Height: 1000mm
Maximum Height: 1860mm
Maximum Load Capacity: 50kg

Kevler studio 24 mixer, S/N: Studio2420240100004
Kevler Zlx 15Dactive speaker (pair)
S/N: ZLX-15D-230702317B
S/N: ZLX-15D-230500900B",4,incoming,1,unit,94450,94450,Corporate,Cristo Rey C. Magdadaro,Roel R. Suralta,,Initial Stock,24-05-0082,04/23/2024,Multi-Purpose Hall,Serviceable
1051071915,Audio System,Kevler,ZLX-15D,"Communication Equipment, Audio System
Audio System
Kevler studio 24 mixer, 24 Channel Mixer
16 Mic/Linr , 4 Stereo Input, USB Record and Playback
Headsphones in 48v Phantom power each CH
HPf (low Cut) 199 Dual DSP Effect, Bluetooth Function
4 AUX output, 4 Groups output
75(W) x 48(D) x 11 (H) cm, 10 2kg
Kevler Zlx 15Dactive speaker (pair)
KEVLER ZLX-15D 15"" 1000W 2-Way Full, Range Active Loud Speaker
with LCD Display and Class D Amplifier, Built-In USB Port and Bluetooth Function, Mic Line, RCA and XLR I/O and DSP Preset Modes | ZLX-15D

Kevler RCM77wireless mic rechargeable
Dual UHF Wireless Microphone
UHF Freq : 636-695 7 MHz
200 Selectable Frequencies
100 Freq Each Channel
Auto Frequency Search Function
Easy to sync and operate
Able to charge the handheld on receiver Unit LCD Display in receiver & transmitter
Compact size receiver
Dual Antenna receiving system
3 7V 1100mAh Li-ion rechargeable battery
Kevler stand ss-5, Model: SS-5
Type: Extendable Speaker Stand
Height: 1000mm
Maximum Height: 1860mm
Maximum Load Capacity: 50kg

Kevler studio 24 mixer, S/N: Studio2420230700006
Kevler Zlx 15Dactive speaker (pair)
S/N: ZLX-15D-230702363B",4,incoming,1,unit,94450,94450,Corporate,Cristo Rey C. Magdadaro,Roel R. Suralta,,Initial Stock,24-05-0083,04/23/2024,Bioinformatics Room,Serviceable
1051071916,Audio System,Kevler,ZLX-15D,"Communication Equipment, Audio System
Audio System
Kevler studio 24 mixer, 24 Channel Mixer
16 Mic/Linr , 4 Stereo Input, USB Record and Playback
Headsphones in 48v Phantom power each CH
HPf (low Cut) 199 Dual DSP Effect, Bluetooth Function
4 AUX output, 4 Groups output
75(W) x 48(D) x 11 (H) cm, 10 2kg
Kevler Zlx 15Dactive speaker (pair)
KEVLER ZLX-15D 15"" 1000W 2-Way Full, Range Active Loud Speaker
with LCD Display and Class D Amplifier, Built-In USB Port and Bluetooth Function, Mic Line, RCA and XLR I/O and DSP Preset Modes | ZLX-15D

Kevler RCM77wireless mic rechargeable
Dual UHF Wireless Microphone
UHF Freq : 636-695 7 MHz
200 Selectable Frequencies
100 Freq Each Channel
Auto Frequency Search Function
Easy to sync and operate
Able to charge the handheld on receiver Unit LCD Display in receiver & transmitter
Compact size receiver
Dual Antenna receiving system
3 7V 1100mAh Li-ion rechargeable battery
Kevler stand ss-5, Model: SS-5
Type: Extendable Speaker Stand
Height: 1000mm
Maximum Height: 1860mm",4,incoming,1,unit,94450,94450,Corporate,Cristo Rey C. Magdadaro,Roel R. Suralta,,Initial Stock,24-05-0084,04/23/2024,,Serviceable
1051051430,Biometrics,ZKTECO,U990-C,"Biometrics, 2x U990-C ZKTECO Fingerprint T&A Device for IN/OUT Standalone w/ SN: CB2L194660048 and CB2L194660043, w/ 3” TFT Screen, 3, 000 fingerprint templates, 10, 000 ID card capacity , 100, 000 transaction records, Dual Communication Port: Built-in USB slot & TCPIP, Access Control Ready, With Backup Battery, w/ AL280 Magnetic lock SN:19269280260, AL280PZ Z Magnetic lock bracket SN:19409250050, AL280PL L Magnetic lock Bracket SN: 19319280127, EB-900A Emergency Breakglass green, 12V 5A Power Supp",4,incoming,1,unit,50352.95,50352.95,Corporate,,Roel R. Suralta,,Initial Stock,24-04-0056,01/20/2020,,Serviceable
1051072051,Camera,Sony,S/N: 3320337,"Sony Alpha A6600, S/N:3320337 (set)                                                                    ICT equipment, Camera
1-Sony Alpha A6600 Mirrorless Camera with 18-135mm Zoom Lens
1-Wasabi Power Battery NP FZ100 (2-Pack) and Dual USB Charger for Sony NP-FZ100, BC-QZ1 and Sony a9, a7R III, a7 III NPFZ100
2-SanDisk Extreme Pro SD Card 32GB UHS-I SDHC Class 10, 100MB/s Read Speed V30 (SDSDXXO-032G-GN4IN)
2-SanDisk Extreme Pro SD Card 128GB UHS-I SDHC Class 10, 100MB/s Read Speed V30 (SDSDXXO-032G-GN4IN)
1-Actual SD/XD/CF/TF/MS/M2 Card Reader All In One USB Port Extension USB Hub 3 0
1-WD My Passport 500GB Portable External SSD Solid State Drive Storage with Type-C USB 3 2 Support Gen 2 (Gray)
WDBAGF5000AGY-WESN (Western Digital)
1-Eirmai Large-Capacity Waterproof Canvas Backpack Travel Bag (fits 1 DSLR Cameras, 5 lenses, Tripod, Accessories) (EMB-SD02)

Sony Alpha A6600, S/N: 3320337
QR#: 58882
WD My Passport 500GB, S/N: 2330K8400255
QR#: 58883
Wasabi Power Battery NP FZ100 (2-Pack)
QR#: 58884
QR#: 58885
QR#: 58886
Card Reader All In One
QR#: 58887

Property Tag#: 19518",4,incoming,1,unit,109779,109779,Corporate,Cristo Rey C. Magdadaro,Roel R. Suralta,,Initial Stock,24-07-0052,06/26/2024,,Serviceable
1051072063,Camera,Sony,S/N: 4914917,"Sony a6400 Camera, S/N:4914917                                                            ICT equipment, Camera
Sony a6400 Mirrorless Camera
20 1MP stacked back illuminated 1"" Exmor RS CMOS sensor w/ DRAM, large aperture 24-70mm1 F1 8-2 8 ZEISS Vario-Sonnar T lens

Enhanced subject capture: wide 425 Phase/ 425 contrast detection points over 84 percent of the sensor Fast and accurate: Up to 11Fps continuous shooting at 24 2 MP raw with crisp, clear natural colors

Multiple movie functions: Make time lapse movies or slow/quick motion videos without post processing

Tiltable LCD screen: customizable for vlogging, still photography or recording a professional film

In the box: rechargeable battery (NP FW50), AC adaptor (ac uud12), shoulder strap, body cap, accessory shoe cap, eyepiece cup, micro USB cable Metering Type: 1200 zone evaluative metering

Warranty: Two (2) years on parts and service

Property Tag#: 19523
Sony a6400 Camera, S/N:4914917",4,incoming,1,unit,56000,56000,Corporate,Cristo Rey C. Magdadaro,Roel R. Suralta,,Initial Stock,24-07-0096,06/20/2024,,Serviceable
